id,Side,Position,Title,Date,Album,Duration,Songwriter,LeadVocal,Single,UCM_T50,RS_T100,NME_Rank,USA_Today_rank,RYM,AOTY,Spotify
126,A,2,The Fool on the Hill,11/27/1967,Magical Mystery Tour,180,McCartney,McCartney,0,,,111,117,4.26,91,48161105
127,A,3,Flying,11/27/1967,Magical Mystery Tour,137,Lennon-McCartney-Harrison-Starr,Lennon-McCartney-Harrison-Starr,0,,,183,187,3.6,79,18463432
128,A,4,Blue Jay Way,11/27/1967,Magical Mystery Tour,235,Harrison,Harrison,0,,,179,186,3.91,85,17911045
129,A,5,Your Mother Should Know,11/27/1967,Magical Mystery Tour,149,McCartney,McCartney,0,,,68,150,3.91,85,31418113
130,A,6,I Am the Walrus,11/27/1967,Magical Mystery Tour,273,Lennon,Lennon,2,27,33,25,63,4.51,94,103292865
131,B,1,"Hello, Goodbye",11/27/1967,Magical Mystery Tour,207,McCartney,McCartney,1,45,100,107,62,4.21,91,151530350
132,B,2,Strawberry Fields Forever,2/13/1967,Magical Mystery Tour,245,Lennon,Lennon,1,2,3,4,22,4.72,98,218931861
133,B,3,Penny Lane,2/13/1967,Magical Mystery Tour,183,McCartney,McCartney,1,8,32,21,23,4.49,95,163726633
134,B,4,"Baby, You're a Rich Man",7/7/1967,Magical Mystery Tour,183,Lennon,Lennon-McCartney,2,,68,97,162,3.88,84,2953715
135,B,5,All You Need Is Love,7/7/1967,Magical Mystery Tour,237,Lennon,Lennon,1,23,21,20,33,4.2,91,208583513
136,,,Lady Madonna,3/15/1968,Single,136,McCartney,McCartney,1,,86,85,57,4.04,83,78373249
137,,,The Inner Light,3/15/1968,Single,156,Harrison,Harrison,2,,,123,179,3.62,,3784916
138,,,Hey Jude,8/26/1968,Single,431,McCartney,McCartney,1,11,7,3,4,4.43,94,621034801
139,,,Revolution,8/26/1968,Single,201,Lennon,Lennon,2,34,13,57,5,4.27,,117537409
140,A,1,Back in the U.S.S.R.,11/22/1968,The Beatles,163,McCartney,McCartney,0,,85,66,89,4.33,93,137479353
141,A,2,Dear Prudence,11/22/1968,The Beatles,236,Lennon,Lennon,0,,63,41,50,4.41,93,81116239
142,A,3,Glass Onion,11/22/1968,The Beatles,137,Lennon,Lennon,0,,,94,147,4.04,89,39031984
143,A,4,"Ob-La-Di, Ob-La-Da",11/22/1968,The Beatles,187,McCartney,McCartney,0,,,144,124,3.85,86,279431935
144,A,5,Wild Honey Pie,11/22/1968,The Beatles,52,McCartney,McCartney,0,,,188,182,2.86,56,20878358
145,A,6,The Continuing Story of Bungalow Bill,11/22/1968,The Beatles,198,Lennon,Lennon,0,,,141,127,3.66,82,24932801
146,A,7,While My Guitar Gently Weeps,11/22/1968,The Beatles,286,Harrison,Harrison,0,4,10,6,13,4.65,97,285265563
147,A,8,Happiness Is a Warm Gun,11/22/1968,The Beatles,163,Lennon,Lennon,0,,24,44,41,4.49,94,58210786
148,B,1,Martha My Dear,11/22/1968,The Beatles,148,McCartney,McCartney,0,,,17,110,4.14,90,37205181
149,B,2,I'm So Tired,11/22/1968,The Beatles,123,Lennon,Lennon,0,,83,102,82,4.14,89,41812262
150,B,3,Blackbird,11/22/1968,The Beatles,139,McCartney,McCartney,0,,38,7,16,4.45,95,514970132
151,B,4,Piggies,11/22/1968,The Beatles,124,Harrison,Harrison,0,,,136,118,3.58,81,22104510
152,B,5,Rocky Raccoon,11/22/1968,The Beatles,213,McCartney,McCartney,0,,,122,121,3.97,87,54495652
153,B,6,Don't Pass Me By,11/22/1968,The Beatles,231,Starr,Starr,0,,,96,151,3.49,80,22649406
154,B,7,Why Don't We Do It in the Road?,11/22/1968,The Beatles,102,McCartney,McCartney,0,,,185,141,3.34,74,23715486
155,B,8,I Will,11/22/1968,The Beatles,106,McCartney,McCartney,0,,,46,79,3.99,88,116687272
156,B,9,Julia,11/22/1968,The Beatles,174,Lennon,Lennon,0,,69,61,43,4.1,89,39560324
157,C,1,Birthday,11/22/1968,The Beatles,162,McCartney,Lennon-McCartney,0,,,100,76,3.79,83,33092396
158,C,2,Yer Blues,11/22/1968,The Beatles,241,Lennon,Lennon,0,,76,167,85,3.99,88,24692073
159,C,3,Mother Nature's Son,11/22/1968,The Beatles,168,McCartney,McCartney,0,,80,49,115,3.97,88,30021840
160,C,4,Everybody's Got Something to Hide Except Me and My Monkey,11/22/1968,The Beatles,144,Lennon,Lennon,0,,73,53,131,3.87,85,19578840
161,C,5,Sexy Sadie,11/22/1968,The Beatles,195,Lennon,Lennon,0,,93,48,92,4.04,87,26472384
162,C,6,Helter Skelter,11/22/1968,The Beatles,270,McCartney,McCartney,0,31,52,26,31,4.52,95,86296862
163,C,7,"Long, Long, Long",11/22/1968,The Beatles,184,Harrison,Harrison,0,,98,67,91,3.89,86,20138458
164,D,1,Revolution 1,11/22/1968,The Beatles,201,Lennon,Lennon,0,,,,35,4.01,89,25073100
165,D,2,Honey Pie,11/22/1968,The Beatles,161,McCartney,McCartney,0,,,75,158,3.68,83,20530171
166,D,3,Savoy Truffle,11/22/1968,The Beatles,174,Harrison,Harrison,0,,,65,116,3.79,84,15755897
167,D,4,Cry Baby Cry,11/22/1968,The Beatles,183,Lennon,Lennon,0,,,52,100,3.95,87,19014180
168,D,5,Revolution 9,11/22/1968,The Beatles,502,Lennon,,0,,,184,183,3.37,71,13446000
169,D,6,Good Night,11/22/1968,The Beatles,191,Lennon,Starr,0,,,121,188,3.81,87,16170025
170,A,2,Only a Northern Song,1/13/1969,Yellow Submarine,207,Harrison,Harrison,0,,,182,180,3.55,67,7369910
171,A,3,All Together Now,1/13/1969,Yellow Submarine,130,McCartney,McCartney,0,,,108,181,3.29,63,10708084
172,A,4,Hey Bulldog,1/13/1969,Yellow Submarine,194,Lennon-McCartney,Lennon,0,,81,87,144,4.26,89,24033642
173,A,5,It's All Too Much,1/13/1969,Yellow Submarine,388,Harrison,Harrison,0,,,98,165,3.9,78,7368420
174,,,Don't Let Me Down,4/11/1969,Single,215,Lennon,Lennon,2,,46,117,71,4.4,89,178476821
175,,,The Ballad of John and Yoko,5/30/1969,Single,179,Lennon,Lennon,1,49,48,147,90,3.91,80,54011168
176,,,Old Brown Shoe,5/30/1969,Single,196,Harrison,Harrison,2,,,137,155,3.54,,6927555
177,A,1,Come Together,9/26/1969,Abbey Road,258,Lennon,Lennon,1,20,9,29,47,4.48,95,784735970
178,A,2,Something,9/26/1969,Abbey Road,179,Harrison,Harrison,1,7,6,5,3,4.58,96,356170879
179,A,3,Maxwell's Silver Hammer,9/26/1969,Abbey Road,207,McCartney,McCartney,0,,,149,148,3.89,88,55041009
180,A,4,Oh! Darling,9/26/1969,Abbey Road,206,McCartney,McCartney,0,,67,119,87,4.29,94,154419976
181,A,5,Octopus's Garden,9/26/1969,Abbey Road,168,Starr,Starr,0,,,152,185,4.12,91,100144230
182,A,6,I Want You (She's So Heavy),9/26/1969,Abbey Road,467,Lennon,Lennon,0,,59,104,68,4.52,96,81639078
183,B,1,Here Comes the Sun,9/26/1969,Abbey Road,186,Harrison,Harrison,0,32,28,11,9,4.6,96,1456534083
184,B,2,Because,9/26/1969,Abbey Road,165,Lennon,Lennon-McCartney-Harrison,0,,77,56,51,4.18,91,57189437
185,B,3,You Never Give Me Your Money,9/26/1969,Abbey Road,242,McCartney,McCartney,0,,23,72,56,4.34,92,53083323
186,B,4,Sun King,9/26/1969,Abbey Road,146,Lennon,Lennon,0,,23,146,119,3.95,88,41112497
187,B,5,Mean Mr. Mustard,9/26/1969,Abbey Road,66,Lennon,Lennon,0,,23,109,103,3.92,87,35061931
188,B,6,Polythene Pam,9/26/1969,Abbey Road,72,Lennon,Lennon,0,,23,151,102,3.96,87,33809151
189,B,7,She Came in Through the Bathroom Window,9/26/1969,Abbey Road,117,McCartney,McCartney,0,,23,95,69,4.2,91,47405159
190,B,8,Golden Slumbers,9/26/1969,Abbey Road,91,McCartney,McCartney,0,,23,15,98,4.42,94,124534934
191,B,9,Carry That Weight,9/26/1969,Abbey Road,96,McCartney,McCartney,0,,23,93,65,4.43,94,66483818
192,B,10,The End,9/26/1969,Abbey Road,140,McCartney,McCartney,0,,23,101,20,4.39,94,45429959
193,B,11,Her Majesty,9/26/1969,Abbey Road,23,McCartney,McCartney,0,,23,177,125,3.71,82,3105572
194,A,1,Two of Us,5/8/1970,Let It Be,213,McCartney,Lennon-McCartney,0,,54,23,101,4,85,41585819
195,A,2,Dig a Pony,5/8/1970,Let It Be,232,Lennon,Lennon,0,,92,115,126,3.74,81,24613797
196,A,3,Across the Universe,5/8/1970,Let It Be,230,Lennon,Lennon,0,,84,18,32,4.36,93,146843763
197,A,4,I Me Mine,5/8/1970,Let It Be,145,Harrison,Harrison,0,,,169,123,3.87,85,29543054
198,A,5,Dig It,5/8/1970,Let It Be,51,Lennon,Lennon,0,,,187,178,2.76,61,13909508
199,A,6,Let It Be,3/6/1969,Let It Be,243,McCartney,McCartney,1,6,8,22,10,4.43,96,741264563
200,A,7,Maggie Mae,5/8/1970,Let It Be,40,Cover,Lennon-McCartney,0,,,,,2.81,62,17167251
201,B,1,I've Got a Feeling,5/8/1970,Let It Be,217,Lennon-McCartney,Lennon-McCartney,0,,64,133,84,3.88,84,36852155
202,B,2,One After 909,5/8/1970,Let It Be,172,Lennon,Lennon-McCartney,0,,,170,134,3.4,75,16946255
203,B,3,The Long and Winding Road,5/8/1970,Let It Be,220,McCartney,McCartney,1,37,90,30,67,4,90,130301523
204,B,4,For You Blue,5/8/1970,Let It Be,152,Harrison,Harrison,2,,,173,114,3.34,74,17952138
205,B,5,Get Back,4/11/1969,Let It Be,194,McCartney,McCartney,1,29,41,90,30,4.17,88,200226402
206,,,You Know My Name (Look Up the Number),3/6/1969,Single,261,Lennon,Lennon-McCartney-Starr,2,,,186,189,3.29,,3995593
